id,restraunt_camis,inspection_date,inspection_type,action,score,grade,grade_date
791,50126220,2023-03-10,Pre-permit (Operational) / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,62,,
792,50137282,2025-02-05,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,53,,
793,40734589,2023-04-18,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,22,,
794,50156286,2025-06-30,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,32,C,2025-06-30
795,50040217,2024-09-06,Cycle Inspection / Reopening Inspection,Establishment re-closed by DOHMH.,34,,
796,41368950,2023-05-16,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,33,,
797,50113072,2025-01-10,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,22,B,2025-01-10
798,50134859,2023-05-11,Smoke-Free Air Act / Re-inspection,Violations were cited in the following area(s).,,,
799,50001215,2025-01-30,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,37,C,2025-01-30
800,50122796,2023-05-10,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
801,50090750,2024-11-18,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,23,B,2024-11-18
802,50072375,2025-07-23,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,37,Z,2025-07-23
803,50062743,2024-07-15,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,30,,
804,50119444,2023-04-13,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,13,A,2023-04-13
805,50085703,2025-07-14,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
806,50002654,2024-04-02,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,35,,
807,50056450,2025-06-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2025-06-12
808,50090750,2024-05-29,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,56,,
809,40962335,2024-04-03,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,46,C,2024-04-03
810,50105379,2024-12-24,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,55,C,2024-12-24
811,50099434,2024-05-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,19,,
812,41017770,2024-10-07,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,10,A,2024-10-07
813,50144094,2025-05-19,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
814,50001168,2023-12-15,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,2,,
815,50132527,2025-01-07,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,55,,
816,50059605,2024-12-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,23,,
817,50133760,2025-03-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,57,,
818,50126094,2024-12-23,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,24,B,2024-12-23
819,50135417,2023-08-15,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,44,,
820,50101946,2023-04-14,Inter-Agency Task Force / Initial Inspection,Violations were cited in the following area(s).,10,,
821,40962335,2023-02-21,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,25,B,2023-02-21
822,50105992,2025-01-28,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,64,,
823,50147491,2025-08-20,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,21,Z,2025-08-20
824,50132764,2023-04-12,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,59,C,2023-04-12
825,41436019,2024-05-02,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,52,,
826,50142911,2024-12-12,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,69,,
827,50159766,2025-02-20,Pre-permit (Operational) / Compliance Inspection,Violations were cited in the following area(s).,48,,
828,41657465,2024-06-05,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,85,,
829,50135958,2023-08-07,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,45,,
830,50059605,2023-10-11,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,22,B,2023-10-11
831,50124939,2023-01-05,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,25,,
832,50066744,2024-03-01,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,14,B,2024-03-01
833,50008955,2024-03-19,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,22,B,2024-03-19
834,50103384,2025-06-30,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,23,B,2025-06-30
835,40949905,2024-04-02,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,31,,
836,50087667,2025-01-27,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,26,B,2025-01-27
837,50083864,2025-04-08,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,21,,
838,41359575,2023-06-15,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2023-06-15
839,50035091,2023-06-21,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,9,A,2023-06-21
840,41184659,2025-05-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,4,A,2025-05-12
841,41700337,2024-07-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,41,,
842,50110728,2025-04-28,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2025-04-28
843,41668282,2025-07-17,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,23,Z,2025-07-17
844,50112608,2025-08-08,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,15,Z,2025-08-08
845,40396548,2024-03-04,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,31,C,2024-03-04
846,41184659,2023-03-10,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2023-03-10
847,40365525,2024-01-16,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
848,41688132,2023-12-02,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2023-12-02
849,50035574,2025-01-16,Trans Fat / Initial Inspection,Violations were cited in the following area(s).,,,
850,50067421,2024-01-08,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,29,,
851,50112918,2023-03-22,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,17,B,2023-03-22
852,50105567,2024-06-25,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
853,50008955,2023-04-27,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
854,50108113,2024-01-18,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,9,A,2024-01-18
855,50116822,2023-07-17,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,0,P,2023-07-17
856,50115485,2024-09-19,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,66,,
857,41700337,2023-01-12,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,80,,
858,50133003,2023-09-11,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,58,,
859,50060415,2024-03-06,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
860,50102671,2023-03-08,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,30,C,2023-03-08
861,50040448,2024-06-26,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2024-06-26
862,40738177,2025-03-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2025-03-13
863,41436019,2023-03-14,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,11,A,2023-03-14
864,50136410,2023-10-23,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,24,,
865,50038120,2024-08-23,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,3,C,2024-08-23
866,50104311,2025-03-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,20,,
867,50133760,2024-08-22,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,61,,
868,50147491,2025-03-05,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,22,,
869,50084598,2024-12-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,23,,
870,50129949,2024-04-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,41,,
871,40372445,2023-02-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,20,,
872,50144098,2024-02-01,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,20,,
873,50033770,2025-04-08,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
874,41479962,2024-05-02,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,10,A,2024-05-02
875,41172425,2023-12-08,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,10,A,2023-12-08
876,41595491,2023-11-27,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,10,,
877,50160793,2025-03-03,Pre-permit (Operational) / Reopening Inspection,Establishment re-opened by DOHMH.,4,Z,2025-03-03
878,50117962,2023-08-17,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,36,,
879,50112608,2025-04-08,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,74,,
880,50130469,2023-08-22,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,66,B,2023-08-22
881,50074402,2025-02-12,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,37,C,2025-02-12
882,50107403,2024-12-05,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2024-12-05
883,50098773,2023-02-21,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,10,A,2023-02-21
884,50097138,2023-03-20,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,37,,
885,50114100,2023-01-25,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,27,B,2023-01-25
886,50001168,2025-03-05,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2025-03-05
887,50134432,2023-06-13,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
888,50137120,2023-12-06,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,9,A,2023-12-06
889,50103384,2023-06-26,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,55,,
890,50138853,2023-12-13,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,28,,
891,50116136,2025-04-10,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
892,50088559,2024-05-30,Calorie Posting / Initial Inspection,Violations were cited in the following area(s).,,,
893,50089916,2024-08-12,Administrative Miscellaneous / Re-inspection,Violations were cited in the following area(s).,,,
894,50001785,2024-11-29,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2024-11-29
895,50116822,2023-07-11,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,73,,
896,50128391,2023-04-03,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,9,A,2023-04-03
897,50119444,2023-03-29,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,25,,
898,50124121,2025-07-31,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
899,40372445,2024-08-26,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,27,B,2024-08-26
900,50117478,2024-01-11,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,97,,
901,50040448,2023-05-02,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,7,A,2023-05-02
902,50131460,2025-05-12,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
903,50098773,2024-12-04,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,7,A,2024-12-04
904,50074621,2024-08-23,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
905,50146853,2025-07-07,Cycle Inspection / Reopening Inspection,Establishment re-closed by DOHMH.,30,,
906,50119795,2023-04-14,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,10,A,2023-04-14
907,50109264,2024-03-06,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,32,,
908,50067605,2024-06-06,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2024-06-06
909,41698701,2023-06-21,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,29,,
910,50130528,2025-06-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,21,,
911,50121366,2023-05-24,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
912,41280375,2023-03-30,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2023-03-30
913,50145566,2025-04-01,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,19,B,2025-04-01
914,50129944,2024-07-18,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,15,,
915,41022989,2025-08-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,33,,
916,50127492,2025-04-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,11,A,2025-04-09
917,50132764,2023-04-03,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
918,41359575,2023-04-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
919,41503108,2024-04-15,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,40,C,2024-04-15
920,41359575,2023-11-16,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2023-11-16
921,40396231,2023-02-21,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,35,,
922,50131273,2023-08-18,Pre-permit (Operational) / Reopening Inspection,Establishment re-opened by DOHMH.,9,,
923,50162047,2025-02-24,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,42,,
924,50126094,2023-08-31,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
925,40393395,2023-08-29,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
926,50152245,2024-09-12,Pre-permit (Operational) / Reopening Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,14,,
927,50101946,2023-02-08,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,10,A,2023-02-08
928,50118265,2024-03-12,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,10,A,2024-03-12
929,50083864,2024-08-22,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,27,B,2024-08-22
930,41396554,2024-01-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,45,,
931,50127351,2025-05-29,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,22,,
932,50112608,2023-08-28,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,43,,
933,50137037,2025-04-16,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2025-04-16
934,50138450,2023-08-07,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,30,,
935,50000338,2024-12-30,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,55,,
936,50126220,2023-04-14,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,38,C,2023-04-14
937,50138450,2023-08-28,Pre-permit (Operational) / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,60,,
938,50131124,2023-02-15,Pre-permit (Non-operational) / Initial Inspection,Violations were cited in the following area(s).,11,,
939,40396159,2025-03-17,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2025-03-17
940,50139652,2024-05-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,37,,
941,50137120,2023-10-17,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,38,,
942,50160793,2025-04-16,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,19,,
943,50103653,2025-06-09,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,2,A,2025-06-09
944,50125236,2025-06-16,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,33,,
945,50138450,2024-06-20,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,9,A,2024-06-20
946,41053236,2023-06-23,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,10,A,2023-06-23
947,50104311,2023-01-31,Trans Fat / Initial Inspection,Violations were cited in the following area(s).,,,
948,50104702,2023-03-28,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,31,C,2023-03-28
949,50110727,2024-11-06,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,87,,
950,50085967,2024-09-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,15,,
951,50153738,2024-09-27,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,15,,
952,50125911,2023-03-30,Cycle Inspection / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,89,,
953,50009989,2024-12-19,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,16,B,2024-12-19
954,50106096,2024-03-19,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2024-03-19
955,50005068,2023-06-27,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,35,,
956,50116944,2025-05-19,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,40,,
957,50152245,2024-08-15,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
958,50118860,2024-11-14,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,58,C,2024-11-14
959,50118176,2024-03-14,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,16,B,2024-03-14
960,50103384,2025-05-14,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,38,,
961,50049514,2024-08-15,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,34,C,2024-08-15
962,50131738,2023-11-01,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,32,,
963,50148333,2024-09-04,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
964,50117415,2023-02-17,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
965,50002628,2023-04-10,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,5,A,2023-04-10
966,50112608,2025-01-06,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
967,50040217,2024-08-22,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,57,,
968,50073108,2024-08-21,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,27,B,2024-08-21
969,50107156,2024-12-07,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
970,50138270,2023-09-15,Pre-permit (Operational) / Reopening Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,47,,
971,50103384,2023-06-30,Cycle Inspection / Reopening Inspection,Establishment re-closed by DOHMH.,52,,
972,40734589,2023-06-09,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,51,C,2023-06-09
973,50107335,2023-05-23,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,35,,
974,50011586,2024-08-29,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,3,C,2024-08-29
975,41503108,2025-03-04,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
976,50160910,2024-12-11,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,46,,
977,50105651,2023-02-15,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
978,50048225,2024-12-13,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,23,B,2024-12-13
979,50109434,2023-08-24,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,40,,
980,50102329,2024-08-26,Administrative Miscellaneous / Re-inspection,Violations were cited in the following area(s).,,,
981,50147491,2024-05-15,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,40,,
982,50033380,2023-05-18,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2023-05-18
983,50060498,2024-01-23,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,32,C,2024-01-23
984,50083864,2025-08-25,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,25,Z,2025-08-25
985,50130469,2024-04-16,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,27,,
986,50123514,2024-11-25,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2024-11-25
987,50039988,2024-03-21,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,32,,
988,50115431,2023-01-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
989,50143698,2025-08-19,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,32,Z,2025-08-19
990,50106165,2025-05-12,Cycle Inspection / Re-inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,82,,
991,40365525,2024-10-25,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
992,50134859,2023-04-26,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,28,,
993,50111463,2024-06-03,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
994,41623174,2023-11-16,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,23,B,2023-11-16
995,50123411,2023-03-23,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,12,A,2023-03-23
996,50124313,2023-07-24,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,50,,
997,50100671,2024-08-21,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,16,B,2024-08-21
998,50073616,2024-03-28,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,10,A,2024-03-28
999,50089916,2024-08-12,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,19,B,2024-08-12
1000,50132764,2023-07-14,Pre-permit (Operational) / Compliance Inspection,Violations were cited in the following area(s).,25,,
